"STOREID","GOLDCODE","ARTICLESTATUS","LV","SV","GoldCode_LV_SV","DESCRIPTION","COMMERCIALCONTRACT","SUPPLIERCODE","SUPPLIERNAME","DIVISION","DEPARTMENT","SUBDEPARTMENT","FAMILY","SUBFAMILY","PLANOGRAM","ATTRIB2","CURRENTSTOCK","FMCGDETENTION","OA","SA","BARCODE","OASTART","OAEND","MAINSUPPLIER","LEVERAGE","RETURNSTOCK","RETURNSTATUS","RETURNSTATUSDATE","FREQUENCY","DESFREQUENCY","DELIVERYPERIOD","COVERDAYS","ORDERMODE","FIXORDERQTY","MINQTY","PRESTOCK","PO","PO_QTY","PODATE","DELIVERYDATE","FREEFREIGHTTHRESHOLD","FREEFREIGHTUNIT","MINORDERFR","MAXORDERFR","UNIT","CATALOGUE","SKU_PU","COEF","ORDERMINPU","PRICELIST","STARTDATEPRICELIST","ENDDATEPRICELIST","COSTPRICE","LV","PURCHASEPRICE","NORMALPRICE","CLEARANCEPRICE","CATALOGUEPRICE","COMPLEMENTPRICE","SALESQTY","STOCKDAY","STOVAL"
"147-MOONLIGHT",="00233900","Active",29,29,="002339002929","BAU HO LO","D0060147",="1001096","CTY TNHH GIONG CAY TRONG PHU NONG","02-HOME LINE","0240-HOME IMPROVEMENT","024030-GARDENING","02403001-SEED","0240300102-VEGETABLE","","",,"No","Yes","Yes",="8936063130694",11-MAY-22,31-DEC-49,"No",,,"","",1,Day,5,,1,,,,="",,,,1000000,121,,50000000,121,"","41","5","",10900147,06-MAY-22,31-DEC-49,,29,8500,11900,,,,,,
"147-MOONLIGHT",="00275904","Active",1,1,="0027590411","PIN SAC ENERGIZER AA 2000MAH NH15 PP RP2","D0030147",="0461010","CONG TY TNHH DKSH VN - GREEN CROSS","02-HOME LINE","0240-HOME IMPROVEMENT","024040-ELECTRIC & LIGHTING","02404001-BATTERY","0240400103-CHARGER BATTER","","",,"No","Yes","Yes",="8888021301410",19-OCT-23,31-DEC-49,"Yes",,,"","",1,Day,5,,1,,,,="",,,,1000000,121,,50000000,121,"","1","1","",10900147,19-OCT-23,31-DEC-49,,1,120200,187000,,,,,,
"147-MOONLIGHT",="00973549","Active",1,1,="0097354911","BO COI CHAY INOX 2 LOP 12CM","B0580147",="3006080","CTY TNHH SX GIA DUNG TUYET MAI","02-HOME LINE","0210-HOUSEWARE","021010-KITCHEN","02101003-KITCHEN TOOL","0210100301-CRUSH","","",,"No","Yes","Yes",="8935263801878",30-NOV-23,31-DEC-49,"Yes",,,"","",1,Day,7,,1,,,,="",,,,3000000,121,,,,"","41","10","",20500147,14-DEC-23,26-DEC-23,,1,185000,260000,,,219000,,,
"147-MOONLIGHT",="00229281","Active",8,8,="0022928188","LO 5 BUT BI TL 027 DEN","E0240147",="2050010","CTY TNHH TMDV THIEN LONG HOAN CAU","02-HOME LINE","0250-CULTURE","025020-STATIONERY","02502001-WRITING MATERIAL","0250200101-PEN","","",29,"Yes","Yes","Yes",="8935001806127",19-JUL-23,31-DEC-49,"Yes",,,"","",1,Day,5,,1,,,,="",,,,5000000,121,,100000000,121,"","1","1","",10900147,08-AUG-23,31-DEC-49,13345,8,15700,24900,,,,2,190,387005
"147-MOONLIGHT",="01412446","Active",1,1,="0141244611","TV-DIA TRE GIOT NUOC DTR 77-27.5X20X2.2CM","A1240147",="1650009","CTY TNHH TM SX XNK PHAT THANH","02-HOME LINE","0210-HOUSEWARE","021020-TABLEWARES","02102001-DISHWARE","0210200106-MELAMINE PLATE","","",,"No","Yes","Yes",="8935206629033",06-DEC-23,31-DEC-49,"Yes",,,"","",1,Day,8,,1,,,,="",,,,2500000,121,,50000000,121,"","41","1","",20500147,15-DEC-23,26-DEC-23,,1,41829,75000,,,69000,,,
"147-MOONLIGHT",="01294181","Active",1,1,="0129418111","KBM - NHA VOM 33X44X30 CM","D0580147",="3005947","CONG TY TNHH MTV KIM BINH MINH","02-HOME LINE","0240-HOME IMPROVEMENT","024080-PET","02408002-FURNITURE","0240800201-BED & STATIONARY","","",,"No","Yes","Yes",="8935347900152",30-SEP-23,31-DEC-49,"Yes",,,"","",1,Day,10,,1,,,,="",,,,2000000,121,,,,"","1","1","",10900147,30-SEP-23,31-DEC-49,,1,120000,339000,,,,,,
"147-MOONLIGHT",="00884284","Active",1,1,="0088428411","TRIMAX BO NOI INOX 3LOP DAY LIEN 16,20,24 ELMICH","A8410147",="3004953","CTY CP ELMICH","02-HOME LINE","0210-HOUSEWARE","021010-KITCHEN","02101001-COOKWARE","0210100104-COOKING POT SET","","",,"No","Yes","Yes",="8595249137416",30-NOV-23,31-DEC-49,"Yes",,,"","",1,Day,5,,1,,,,="",,,,5000000,121,,,,"","41","1","",10900147,06-MAY-22,31-DEC-49,,1,1362273,2189000,,,,,,
"147-MOONLIGHT",="01258111","Active",1,1,="0125811111","SAN SILICONE CAN GO","B0480147",="3004959","CTY TNHH MTV XNK TM DV HUNG THUY","02-HOME LINE","0210-HOUSEWARE","021010-KITCHEN","02101001-COOKWARE","0210100108-GRILL / BBQ","","",,"No","Yes","No",="8935282801255",27-SEP-23,31-DEC-49,"Yes",,,"","",1,Day,5,,1,,,,="",,,,5000000,121,,,,"","41","20","",,,,,1,31500,,,,,,,
"147-MOONLIGHT",="00973091","Active",1,1,="0097309111","GCP05-20IH_C.DUCV.DA HONG 20CM","A8380147",="3004814","CTY TNHH GREEN COOK","02-HOME LINE","0210-HOUSEWARE","021010-KITCHEN","02101001-COOKWARE","0210100105-FRYING PAN","","",,"No","Yes","Yes",="8936146120260",30-NOV-23,31-DEC-49,"Yes",,,"","",1,Day,5,,1,,,,="",,,,3000000,121,,,,"","41","10","",10900147,03-AUG-23,31-DEC-49,,1,245520,340000,,,,,,
"147-MOONLIGHT",="01025841","Active",1,1,="0102584111","P-NM-LO 5 DUA NHUA HOA CC MS2230","A8280806",="806","SOUTHERN WAREHOUSE","02-HOME LINE","0210-HOUSEWARE","021020-TABLEWARES","02102003-CUTLERY - TABLEWARE ACC","0210200306-PLASTIC CHOPSTICK","","",17,"Yes","Yes","Yes",="6973840230033",21-OCT-23,31-DEC-49,"Yes",,,"","",1,Day,8,,1,,,,="",,,,,,,,,"","41","30","",20500147,14-DEC-23,26-DEC-23,93700,2,,147100,,,89000,1,260,1592900
