"STOREID","GOLDCODE","ARTICLESTATUS","LV","SV","GoldCode_LV_SV","DESCRIPTION","COMMERCIALCONTRACT","SUPPLIERCODE","SUPPLIERNAME","DIVISION","DEPARTMENT","SUBDEPARTMENT","FAMILY","SUBFAMILY","PLANOGRAM","ATTRIB2","CURRENTSTOCK","FMCGDETENTION","OA","SA","BARCODE","OASTART","OAEND","MAINSUPPLIER","LEVERAGE","RETURNSTOCK","RETURNSTATUS","RETURNSTATUSDATE","FREQUENCY","DESFREQUENCY","DELIVERYPERIOD","COVERDAYS","ORDERMODE","FIXORDERQTY","MINQTY","PRESTOCK","PO","PO_QTY","PODATE","DELIVERYDATE","FREEFREIGHTTHRESHOLD","FREEFREIGHTUNIT","MINORDERFR","MAXORDERFR","UNIT","CATALOGUE","SKU_PU","COEF","ORDERMINPU","PRICELIST","STARTDATEPRICELIST","ENDDATEPRICELIST","COSTPRICE","LV","PURCHASEPRICE","NORMALPRICE","CLEARANCEPRICE","CATALOGUEPRICE","COMPLEMENTPRICE","SALESQTY","STOCKDAY","STOVAL"
"147-MOONLIGHT",="00955861","Active",1,1,="0095586111","BINH SUA PP STREAMLINE 250ML XANH","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","",6,"Yes","Yes","Yes",="4902508782845",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,117805,1,124309,172000,,,,,2040,706830
"147-MOONLIGHT",="01008535","Active",1,1,="0100853511","MV_BINH SUA PP PLUS 160ML HOA TIET - XANH","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","",10,"Yes","Yes","Yes",="4902508781800",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,162285,1,166227,230000,,,,,180,1622850
"147-MOONLIGHT",="01406395","Active",2,2,="0140639522","HT- AO KHOAC NU DANG DAI - XAM TIEU S-XL","G1010147",="0850323","CONG TY TNHH TMDV SX HIEN TRUC","03-SOFT LINE","0310-LADIES'","031012-LADIES WEAR","03101201-LADIES T-SHIRTS","0310120102-LS","","",,"No","Yes","Yes",="8935244180879",01-DEC-23,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,,,"","1","1","",20500147,14-NOV-23,19-FEB-24,,2,72000,149000,,,99000,,,
"147-MOONLIGHT",="00432626","Active",1,1,="0043262611","P-MV-BINH SUA PP TIEU CHUAN 120ML","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","SEASONAL;",8,"Yes","Yes","Yes",="8935103710469",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,40801.9,1,41195,57000,,,,1,289,326415.1888111888
"147-MOONLIGHT",="00768795","Active",1,1,="0076879511","LY MAGMAG TRON BO PIGEON","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","SEASONAL;",,"No","Yes","Yes",="4902508038065",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,18-JUL-23,31-DEC-49,,1,209792,285000,,,,,,
"147-MOONLIGHT",="00749196","Active",1,1,="0074919611","NUM VU SILICON SIEU MEM PLUS  M ","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","SEASONAL;",6,"Yes","Yes","Yes",="4902508018319",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,134353.15,1,143823,199000,,,,1,390,806118.923076924
"147-MOONLIGHT",="00768793","Active",1,1,="0076879311","LY MAGMAG NUM VU PIGEON","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","SEASONAL;",11,"Yes","Yes","Yes",="4902508038010",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,121155.45,1,125755,174000,,,,,1145,1332710.000000005
"147-MOONLIGHT",="00076565","Active",3,3,="0007656533","N/VU SIL SIEU MEM VI 2 SIZE Y","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140306-MILK BOTTLE/ NIPPLE","","SEASONAL;",11,"Yes","Yes","Yes",="4902508019422",27-APR-22,31-DEC-49,"Yes",,,"","",1,Day,14,,4,12,10,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,70274,3,73718,102000,,,,,814,773014
"147-MOONLIGHT",="00076614","Active",1,1,="0007661411","CAY SUC B/S NYLON XANH LA","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140304-CLEANING AND CHILD CARE ACC.","","SEASONAL;",10,"Yes","Yes","Yes",="4902508045322",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,54927,1,54927,76000,,,,,307,549270
"147-MOONLIGHT",="01176808","Active",1,1,="0117680811","MV_TUI TRU SUA 120ML HTPC_HOP 25TUI","J0030147",="1350154","CTY CO PHAN QUOC TE MINH VIET","03-SOFT LINE","0340-BABY/CHILDRENS","034014-BABY NEWBORN","03401403-BABY ACCESSORIES","0340140304-CLEANING AND CHILD CARE ACC.","","",11,"Yes","Yes","Yes",="4902508793209",25-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,14,,1,,,,="",,,,200000,121,,50000000,121,"","1","1","",10900147,03-AUG-23,31-DEC-49,126871.36,1,127200,176000,,,,,966,1395585.000000004
