"STOREID","GOLDCODE","ARTICLESTATUS","LV","SV","GoldCode_LV_SV","DESCRIPTION","COMMERCIALCONTRACT","SUPPLIERCODE","SUPPLIERNAME","DIVISION","DEPARTMENT","SUBDEPARTMENT","FAMILY","SUBFAMILY","PLANOGRAM","ATTRIB2","CURRENTSTOCK","FMCGDETENTION","OA","SA","BARCODE","OASTART","OAEND","MAINSUPPLIER","LEVERAGE","RETURNSTOCK","RETURNSTATUS","RETURNSTATUSDATE","FREQUENCY","DESFREQUENCY","DELIVERYPERIOD","COVERDAYS","ORDERMODE","FIXORDERQTY","MINQTY","PRESTOCK","PO","PO_QTY","PODATE","DELIVERYDATE","FREEFREIGHTTHRESHOLD","FREEFREIGHTUNIT","MINORDERFR","MAXORDERFR","UNIT","CATALOGUE","SKU_PU","COEF","ORDERMINPU","PRICELIST","STARTDATEPRICELIST","ENDDATEPRICELIST","COSTPRICE","LV","PURCHASEPRICE","NORMALPRICE","CLEARANCEPRICE","CATALOGUEPRICE","COMPLEMENTPRICE","SALESQTY","STOCKDAY","STOVAL"
"147-MOONLIGHT",="00033923","Active",0,0,="0003392300","LKM NIVEA NGOC TRAI Q.RU 50ML","P2530147",="0461011","CONG TY TNHH DKSH VIET NAM - NIVEA","06-HBA AND COSMETIC","0610-PERSONAL CARE","061020-BATH AND BODY","06102006-DEODORANT","0610200601-ROLL ON AND STICK WOMEN","","",46,"Yes","Yes","Yes",="8850029212845",11-MAY-22,31-DEC-49,"Yes",,,"","",1,Week,5,,4,12,10,,="",,,,200000,121,,100000000,121,"C327(27/12/2023-10/01/2024)","1","1","",10900147,14-DEC-23,31-DEC-49,57201.66,0,72727,89200,,,,2,33,2631276.5646782742
"147-MOONLIGHT",="00678977","Active",1,1,="0067897711","DG REJOICE HOA MAU DON 632ML","610YV000",="820T","HELLO BEAUTY WAREHOUSE TRANSFER","06-HBA AND COSMETIC","0610-PERSONAL CARE","061010-HAIR CARE","06101001-SHAMPOO","0610100103-SOFT SMOOTH","","",25,"Yes","Yes","Yes",="4902430862646",11-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,7,,4,12,10,,="",,,,,,,,,"","1","1","",10900147,23-MAY-23,31-DEC-49,92677.66,1,77273,135600,,,,,239,2316941.5591756275
"147-MOONLIGHT",="01363463","Active",1,1,="0136346311","DG S.O.N BO KET - BUOI 450ML","PROMO",="2050786","CONG TY TNHH DV TM THANH NGOC(FC)","06-HBA AND COSMETIC","0610-PERSONAL CARE","061010-HAIR CARE","06101001-SHAMPOO","0610100103-SOFT SMOOTH","","",,"No","Yes","Yes",="8935293107032",07-SEP-23,31-DEC-49,"No",,,"","",1,Day,5,,1,,,,="",,,,,,,,,"C326(14/12/2023-26/12/2023),C327(27/12/2023-10/01/2024),C401(11/01/2024-24/01/2024)","41","12","",10900147,04-NOV-23,31-DEC-49,,1,254545,324200,,,,,,
"147-MOONLIGHT",="00829027","Active",1,1,="0082902711","KEM NHUOM ELASTINE PHU BAC DEN TN","PROMO",="1250057","CONG TY TNHH MY PHAM LG-VINA","06-HBA AND COSMETIC","0610-PERSONAL CARE","061010-HAIR CARE","06101004-HAIR COLORING","0610100401-PERMANENT COLOR","","",0,"No","Yes","Yes",="8801051017380",24-JUL-22,31-DEC-49,"No",,,"","",1,Day,10,,1,,,,="",,,,,,,,,"C326(14/12/2023-26/12/2023),C401(11/01/2024-24/01/2024)","41","6","",10900147,06-SEP-22,31-DEC-49,101909,1,,144900,,,,,0,0
"147-MOONLIGHT",="00887524","Active",1,1,="0088752411","DAY TAM OMMI KK 100G","P3880147",="3004230","CTY TNHH SX TM PHAT TRIEN HAN THINH","06-HBA AND COSMETIC","0620-BEAUTY CARE","062040-ACCESSORIES","06204002-BATH ACCESS","0620400202-BATH SCRUBS","","",23,"Yes","Yes","Yes",="8936176843832",14-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,5,,4,2,1,,="",,,,2000000,121,,,,"C327(27/12/2023-10/01/2024)","41","24","",10900147,19-AUG-23,31-DEC-23,40091,1,40091,49000,,,,,60,922093
"147-MOONLIGHT",="00993351","Active",1,1,="0099335111","BVS SOFY SPORTS CANH 26CM 19MIENG","Q1540147",="2250102","CN CTY CP DIANA UNICHARM","06-HBA AND COSMETIC","0610-PERSONAL CARE","061040-FEMININE AND HYGIEN","06104002-DAILY","0610400202-02-NON WOVEN","","",17,"Yes","Yes","Yes",="4903111314171",19-JUL-22,31-DEC-49,"Yes",,,"","",1,Day,5,,4,12,10,,="",,,,25000000,121,,400000000,121,"","41","24","",10900147,16-SEP-23,31-DEC-49,74513.46,1,76818,92400,,,,,101,1266728.82
"147-MOONLIGHT",="01363147","Active",1,1,="0136314711","KDR COLGATE MAXWHITE TRANG RANG 170G","P2510147",="0350005","CTY TNHH COLGATE PALMOLIVE VIET NAM","06-HBA AND COSMETIC","0610-PERSONAL CARE","061030-ORAL CARE","06103001-TOOTHPASTE","0610300102-02-WHITENERS","PLANO","",53,"Yes","Yes","Yes",="6920354837180",21-JUL-23,31-DEC-49,"Yes",,,"","",1,Day,5,,15,,,2,="",,,,8000000,121,,200000000,121,"","41","36","",10900147,14-NOV-23,31-DEC-49,35727,1,35727,44600,,,,1,318,1893531
"147-MOONLIGHT",="01015750","Active",1,1,="0101575011","SERUM CAP AM SENKA DEEP MOIST 3X HA 30ML","P2250147",="3005759","CTY TNHH FT VIET NAM","06-HBA AND COSMETIC","0620-BEAUTY CARE","062010-FACIAL CARE","06201002-FACIAL TREATMENT","0620100203-MOISTURIZING","","",4,"Yes","Yes","Yes",="4909978702847",08-SEP-23,31-DEC-49,"Yes",,,"","",1,Week,5,,1,,,,="",,,,200000,121,,,,"C327(27/12/2023-10/01/2024)","1","1","",10900147,08-SEP-23,31-DEC-49,244344.33,1,346955,445000,,,,1,133,977377.32
"147-MOONLIGHT",="00580824","Active",1,1,="0058082411","LO 2+1 BCDR ORAL-B DUAL CLEAN","",="","","06-HBA AND COSMETIC","0610-PERSONAL CARE","061030-ORAL CARE","06103002-TOOTHBRUSHES","0610300202-02-SOFT BRUSH","","",68,"Yes","No","Yes",="4902430678568",,,"No",,,"","",,,,,,,,,="",,,,,,,,,"","","","",10900147,01-JUL-23,31-DEC-49,38554.2,,,51000,,,,,1107,2621685.6
"147-MOONLIGHT",="00036450","Active",0,0,="0003645000","BVS HN CAREFREE SIEU THAM 40M","Q1790147",="3002740","CTY TNHH DKSH VIET NAM","06-HBA AND COSMETIC","0610-PERSONAL CARE","061040-FEMININE AND HYGIEN","06104002-DAILY","0610400202-02-NON WOVEN","","",,"No","Yes","Yes",="8850007331506",19-JUL-22,31-DEC-49,"Yes",,,"","",1,Day,6,,1,,,,="",,,,200000,121,,100000000,121,"","41","24","",10900147,12-AUG-23,31-DEC-49,,0,41455,48800,,,,,,
